gene	pLI	pRec	mis_z
A1BG	4.9917e-09	3.8693e-01	-8.6130e-02
A1CF	5.9218e-10	9.5946e-01	9.9035e-01
A2M	4.5229e-11	1.0000e+00	1.8713e+00
A2ML1	1.6109e-34	2.0848e-02	3.2706e-01
A3GALT2	1.2823e-10	2.8024e-02	4.6450e-02
A4GALT	7.6668e-06	3.1088e-01	-1.8737e-01
A4GNT	1.6537e-01	8.2165e-01	2.3504e-01
AAAS	2.4356e-13	6.3466e-01	-3.6262e-01
AACS	9.1275e-17	1.1999e-01	2.0029e-01
AADAC	2.9108e-03	9.4688e-01	3.6435e-01
AADACL2	1.0604e-08	9.8764e-02	2.0938e-01
AADACL3	1.1889e-02	6.5755e-01	-3.4433e-01
AADACL4	1.5430e-04	4.4836e-01	-9.3573e-01
AADAT	1.4641e-01	8.5345e-01	2.3466e+00
AAED1	1.0063e-07	1.0014e-01	1.6800e-01
AAGAB	3.8664e-07	8.1940e-01	-8.7738e-01
AAK1	1.0000e+00	6.0511e-07	2.6120e+00
AAMDC	2.2702e-06	1.6422e-01	-1.2731e-01
AAMP	7.6172e-01	2.3827e-01	1.7512e+00
AANAT	2.9690e-03	8.2475e-01	9.0903e-02
AAR2	8.3057e-06	5.3455e-01	8.5528e-01
AARD	3.2580e-01	6.1505e-01	-3.0910e-01
AARS	1.8242e-08	9.9999e-01	5.1852e-02
AARS2	4.9777e-17	9.7619e-01	7.2469e-02
AARSD1	4.0653e-09	5.7071e-01	9.2816e-03
AASDH	1.6629e-13	9.8474e-01	2.5500e-01
AASDHPPT	3.3866e-02	9.5859e-01	4.6164e-01
AASS	2.3101e-12	9.9134e-01	8.8222e-01
AATF	2.5958e-12	4.2964e-01	3.0226e-01
AATK	2.0634e-01	7.9366e-01	5.3875e-01
ABAT	6.3216e-03	9.9352e-01	5.7296e-01
ABCA1	1.4525e-13	1.0000e+00	1.7544e+00
ABCA10	7.6593e-34	1.4115e-02	-5.5504e-02
ABCA12	2.9220e-15	1.0000e+00	1.6348e+00
ABCA13	8.7753e-114	6.0940e-15	-1.5217e+00
ABCA2	1.0000e+00	1.3001e-10	4.9116e+00
ABCA3	6.6226e-08	1.0000e+00	3.2326e-01
ABCA4	5.3499e-48	6.0717e-03	-6.5813e-01
ABCA5	4.7803e-27	9.3193e-01	3.7404e-01
ABCA6	5.1099e-27	7.9343e-01	-4.9147e-01
ABCA7	2.1111e-55	5.0697e-07	-1.4710e+00
ABCA8	1.6090e-52	3.5899e-08	-1.8814e-01
ABCA9	9.4911e-48	6.2737e-06	7.5100e-01
ABCB1	1.2564e-05	9.9999e-01	1.4400e+00
ABCB10	2.9084e-08	9.1881e-01	1.3514e+00
ABCB11	1.5612e-12	9.9999e-01	1.1073e+00
ABCB4	2.2138e-07	1.0000e+00	1.9749e+00
ABCB5	1.5072e-37	4.8168e-05	-1.9827e+00
